# Of Incr,Address,Adj Est.Amt#1,Adj Est.Amt#2,Adj Est.Date#1,Adj Est.Date#2,Application #,Approval Ext. Date,Approved Date,Auto Fire Detection,City,Client's Notes,Climate Zone,Closed Date,Complete Submittal Received Date,Construction Change Document Amt,Contracted Amt,EPR Approved Date,Energy Efficiency,Energy Notes,Estimated Amt,File #,HPI,HPI Hours,HPI Points,Included In Plan,OPSC #,Office ID,PTN #,Project Class,Project Name,Project Scope,Project Type,Project's Sq.footage,Received Date,Required,Required review services,SB 575,Special Type,Special review type,Sprinkler System,Zip,adjamt1,adjamt2,adjdate1,adjdate2,app_id,appextdate,client_id,comprecvdate,county_id,district_code,district_name,dsa_app_id,finalprojectcost,mode,new,notes,origin_id,project_name,ptn,sq,table_0_address,table_0_project_name,table_0_project_scope,url
0,9461 Soaring Oak Drive,,,,,123175,,5/5/2025,,Elk Grove,"3/21/25 Paid Online for $5477.50. Conf#25031436761389 for fee. (IA)
Adjusted estimated cost per revised DSA 1 (KW) 3/20/2025",0,,,$0.00,"$695,807.00",,,,"$1,600,000.00",34-17,,,,,,02,67314-404,Class 3,Elitha Donner Elementary School ( Elk Grove Unified School District),Reconstruction of 2-Buildings D and E3,School (K-12),,3/20/2025,,,,NA,,,95758,"$350,000.00",$0.00,3/20/2025,,123175,,34-17,,34,34-17,Elk Grove Unified School District,02  123175,$0.00,0,0,"3/21/25 Paid Online for $5477.50. Conf#25031436761389 for fee. (IA)
Adjusted estimated cost per revised DSA 1 (KW) 3/20/2025",02,Elitha Donner Elementary School ( Elk Grove Unified School District),67314-404,0,9461 Soaring Oak Drive,Elitha Donner Elementary School ( Elk Grove Unified School District),Reconstruction of 2-Buildings D and E3,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=123175
0,5401 Dorcey Dr.,,,,,122194,,6/26/2024,,Elk Grove,"payment of $25,980.00 received 3/8/2024 MC
Confirmed Plan Review fee amount(KD)",0,5/7/2025 3:36:55 PM,,$0.00,"$931,154.00",,,,"$2,200,000.00",34-17,,,,,,02,67314-362,Class 3,Franklin Elementary School (elk Grove Unified School District),Alterations to 2-Building Units A and L; Relocation of 1-Classroom Building  (Relocatable) Unit G,School (K-12),,3/8/2024,,,,NA,,,95757,$0.00,$0.00,,,122194,,34-17,,34,34-17,Elk Grove Unified School District,02  122194,"$931,154.00",0,0,"payment of $25,980.00 received 3/8/2024 MC
Confirmed Plan Review fee amount(KD)",02,Franklin Elementary School (elk Grove Unified School District),67314-362,0,5401 Dorcey Dr.,Franklin Elementary School (elk Grove Unified School District),Alterations to 2-Building Units A and L; Relocation of 1-Classroom Building  (Relocatable) Unit G,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=122194
3,Corner Of Cypress Grove Drive & Scholarly Way,,,,,122824,,1/29/2025,,Rancho Cordova,"payment of $430,000.00 received 10/3/2024 MC",0,,,$0.00,"$60,000,000.00",,,,"$60,000,000.00",34-17,,,,,,02,67314-358,Class 1,Grantline Elementary School (elk Grove Unified School District),"Construction of 1-Site Improvement, 3-Classroom Buildings B, C, D, 2-Kindergarten Buildings K1 & K2, 1-Administration Building A, 1-Multipurpose Building M, 6-Solar Panel Structures A1, B1, B2, C1, D1 and D2, 2-Shade Structures, 1-Covered Walkway, 1-Library / Media Building L",School (K-12),,10/4/2024,,,,NA,,,95742,$0.00,$0.00,,,122824,,34-17,,34,34-17,Elk Grove Unified School District,02  122824,$0.00,0,0,"payment of $430,000.00 received 10/3/2024 MC",02,Grantline Elementary School (elk Grove Unified School District),67314-358,0,Corner Of Cypress Grove Drive & Scholarly Way,Grantline Elementary School (elk Grove Unified School District),"Construction of 1-Site Improvement, 3-Classroom Buildings B, C, D, 2-Kindergarten Buildings K1 & K2, 1-Administration Building A, 1-Multipurpose Building M, 6-Solar Panel Structures A1, B1, B2, C1, D1 and D2, 2-Shade Structures, 1-Covered Walkway, 1-Library / Media Building L",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=122824
0,8625 Serio Way,,,,,122195,,6/26/2024,,Elk Grove,"payment of $25,980.00 received 3/8/2024 MC
Confirmed Plan Review Fee amount(KD)",0,5/14/2025 3:21:30 PM,,$0.00,"$2,160,155.00",,,,"$2,200,000.00",34-17,,,,,,02,67314-364,Class 3,Irene B. West Elementary School (elk Grove Unified School District),"Alterations to 2-Building Units A and C; Relocation of 3-Classroom Buildings (Relocatable) Units J6, J7 & J8",School (K-12),,3/8/2024,,,,NA,,,95758,$0.00,$0.00,,,122195,,34-17,,34,34-17,Elk Grove Unified School District,02  122195,"$2,160,155.00",0,0,"payment of $25,980.00 received 3/8/2024 MC
Confirmed Plan Review Fee amount(KD)",02,Irene B. West Elementary School (elk Grove Unified School District),67314-364,0,8625 Serio Way,Irene B. West Elementary School (elk Grove Unified School District),"Alterations to 2-Building Units A and C; Relocation of 3-Classroom Buildings (Relocatable) Units J6, J7 & J8",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=122195
0,8531 Cutler Way,,,,,121098,,3/30/2023,,Sacramento,"Pmnt of $37,740 rcvd 2/22/2023 DT. 
SPOTC Request",0,2/15/2024 9:27:51 AM,,$0.00,"$2,485,000.00",,,,"$3,600,000.00",34-17,,,,,,02,67314-352,Class 3,Isabelle Jackson Elementary School (elk Grove Unified School District),"Alterations to 1-Parking Lot, 1-Hardcourt",School (K-12),,3/8/2023,,,,NA,,,95828,$0.00,$0.00,,,121098,,34-17,,34,34-17,Elk Grove Unified School District,02  121098,"$2,485,000.00",0,0,"Pmnt of $37,740 rcvd 2/22/2023 DT. 
SPOTC Request",02,Isabelle Jackson Elementary School (elk Grove Unified School District),67314-352,0,8531 Cutler Way,Isabelle Jackson Elementary School (elk Grove Unified School District),"Alterations to 1-Parking Lot, 1-Hardcourt",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=121098
0,7350 Palmer House Dr.,,,,,120656,,2/14/2023,,Sacramento,Pmnt of $16875.00 rcvd 11/22/2022 DT.,0,2/13/2024 9:17:01 AM,,"$29,313.00","$1,230,000.00",,,,"$1,250,000.00",34-17,,,,,,02,67314-337,Class 3,James Rutter Middle School (elk Grove Unified School District),"Alterations to 1-Parking Lot, 1-Administration Building",School (K-12),,11/22/2022,,,,NA,,,95828,$0.00,$0.00,,,120656,,34-17,,34,34-17,Elk Grove Unified School District,02  120656,"$1,259,313.00",0,0,Pmnt of $16875.00 rcvd 11/22/2022 DT.,02,James Rutter Middle School (elk Grove Unified School District),67314-337,0,7350 Palmer House Dr.,James Rutter Middle School (elk Grove Unified School District),"Alterations to 1-Parking Lot, 1-Administration Building",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=120656
0,8850 Southside Ave,,,,,123020,,5/22/2025,,Elk Grove,"payment of $24,300.00 received 12/17/2024 MC",0,,,$0.00,"$2,500,000.00",,,,"$2,000,000.00",34-17,,,,,,02,67314-397,Class 3,Jessie Baker School (elk Grove Unified School District),"Alterations to 6-Classroom Buildings (Relocatable) J1, J2, J3, J4, J5 and J6, 1-Multi-purpose Building (Relocatable) C, 2-Classroom Buildings G1 and G2, 1-Administration Building (Relocatable) A",School (K-12),,1/16/2025,,,,NA,,,95624,$0.00,$0.00,,,123020,,34-17,,34,34-17,Elk Grove Unified School District,02  123020,$0.00,0,0,"payment of $24,300.00 received 12/17/2024 MC",02,Jessie Baker School (elk Grove Unified School District),67314-397,0,8850 Southside Ave,Jessie Baker School (elk Grove Unified School District),"Alterations to 6-Classroom Buildings (Relocatable) J1, J2, J3, J4, J5 and J6, 1-Multi-purpose Building (Relocatable) C, 2-Classroom Buildings G1 and G2, 1-Administration Building (Relocatable) A",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=123020
0,8900 Old Creek Dr.,,,,,122417,,5/22/2024,,Elk Grove,"05/03/2024 Issue incomplete notice - SS/dg - ok to go to OTC funding deadline
payment of $16,389.71 received 5/1/2024 MC",0,5/28/2025 8:54:23 AM,,$0.00,"$1,196,987.14",,,,"$1,200,981.00",34-17,,,,,,02,67314-370,Class 3,John Ehrhardt Elementary School (elk Grove Unified School District),Construction of 1-PC Ramp; Relocation of 1-Classroom Building  (Relocatable),School (K-12),,5/1/2024,,,,NA,,,95758,$0.00,$0.00,,,122417,,34-17,,34,34-17,Elk Grove Unified School District,02  122417,"$1,196,987.14",0,0,"05/03/2024 Issue incomplete notice - SS/dg - ok to go to OTC funding deadline
payment of $16,389.71 received 5/1/2024 MC",02,John Ehrhardt Elementary School (elk Grove Unified School District),67314-370,0,8900 Old Creek Dr.,John Ehrhardt Elementary School (elk Grove Unified School District),Construction of 1-PC Ramp; Relocation of 1-Classroom Building  (Relocatable),https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=122417
0,8865 Elk Grove Blvd.,,,,,122239,,8/30/2024,,Elk Grove,"payment of $149,400.00 received 3/22/2024 MC Plan Review fee calc verified(KD)",0,,,$0.00,"$20,074,559.00",,,,"$18,500,000.00",34-17,,,,,,02,67314-366,Class 1,Joseph Kerr Middle School (elk Grove Unified School District),"Construction of 1-Shade Structure, 1-Classroom / Shop Building",School (K-12),,3/25/2024,,,,NA,,,95624,$0.00,$0.00,,,122239,,34-17,,34,34-17,Elk Grove Unified School District,02  122239,$0.00,0,0,"payment of $149,400.00 received 3/22/2024 MC Plan Review fee calc verified(KD)",02,Joseph Kerr Middle School (elk Grove Unified School District),67314-366,0,8865 Elk Grove Blvd.,Joseph Kerr Middle School (elk Grove Unified School District),"Construction of 1-Shade Structure, 1-Classroom / Shop Building",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=122239
0,8865 Elk Grove Blvd.,,,,,119803,,4/8/2022,,Elk Grove,"08/28/2023 check#124453 for $22586.64 paid for Inv#12949. (IA)
1/21/22 $41100.00 check received for fees -JB",0,8/29/2023 11:45:32 AM,,"$148,928.76","$6,663,165.00",,,,"$4,000,000.00",34-17,,,,,,02,67314-330,Class 3,Joseph Kerr Middle School (elk Grove Usd),"Alterations to 1-Classroom / Library Building, 1-Gymnasium Building, 1-Administration / Multi-purpose Building; Construction of 1-Utility Improvements",School (K-12),,1/28/2022,,,,NA,,,95624,$0.00,$0.00,,,119803,,34-17,,34,34-17,Elk Grove Unified School District,02  119803,"$6,812,093.76",0,0,"08/28/2023 check#124453 for $22586.64 paid for Inv#12949. (IA)
1/21/22 $41100.00 check received for fees -JB",02,Joseph Kerr Middle School (elk Grove Usd),67314-330,0,8865 Elk Grove Blvd.,Joseph Kerr Middle School (elk Grove Usd),"Alterations to 1-Classroom / Library Building, 1-Gymnasium Building, 1-Administration / Multi-purpose Building; Construction of 1-Utility Improvements",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=119803
0,4011 Hood-Franklin Road,,,,,119025,,,,Elk Grove,"12/6/2021 Project on hold per the AOR/District PSS/EE.
Plan Review Fees received 5/11/21 - JA",0,,,$0.00,$0.00,,,,"$13,000,000.00",34-17,,,,,,02,67314-305,Class 2 & RBIP,Learning Together Preschool Center (elk Grove Unified School District),"Additions to 1-Classroom Building (A); Alterations to 1-Multi-purpose Building (M), 1-Administration Building (P0), 4-Office Buildings (Relocatable) (P02,P12,P17,P27), 2-Toilet Buildings (Relocatable) (P25,P28), 1-Storage Building (Relocatable) (P14), 17-Classroom Buildings (Relocatable) (P01,P03-P06,P08-P09,P11,P13,P15,P18-P19,P21-P24,P26); Construction of 3-Classroom Buildings (Relocatable)(P07,P10,P20), 1-Administration Building (Relocatable) (P16), 1-Mechanical Building (PH), 8-Shade Structures, 1-Water Tank",School (K-12),,5/13/2021,,,,NA,,,95757,$0.00,$0.00,,,119025,,34-17,,34,34-17,Elk Grove Unified School District,02  119025,$0.00,0,0,"12/6/2021 Project on hold per the AOR/District PSS/EE.
Plan Review Fees received 5/11/21 - JA",02,Learning Together Preschool Center (elk Grove Unified School District),67314-305,0,4011 Hood-Franklin Road,Learning Together Preschool Center (elk Grove Unified School District),"Additions to 1-Classroom Building (A); Alterations to 1-Multi-purpose Building (M), 1-Administration Building (P0), 4-Office Buildings (Relocatable) (P02,P12,P17,P27), 2-Toilet Buildings (Relocatable) (P25,P28), 1-Storage Building (Relocatable) (P14), 17-Classroom Buildings (Relocatable) (P01,P03-P06,P08-P09,P11,P13,P15,P18-P19,P21-P24,P26); Construction of 3-Classroom Buildings (Relocatable)(P07,P10,P20), 1-Administration Building (Relocatable) (P16), 1-Mechanical Building (PH), 8-Shade Structures, 1-Water Tank",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=119025
0,8140 Caymus Dr.,,,,,122856,,9/25/2024,,Sacramento,"payment of $12,450.00 received 9/11/2024 MC",0,,,$0.00,"$460,994.00",,,,"$2,400,000.00",34-17,,,,,,02,67314-377,Class 3,Maeola Beitzel Elementary School (elk Grove Unified School District),Alterations to 1-Parking Lot,School (K-12),,9/23/2024,,,,NA,,,95829,$0.00,$0.00,,,122856,,34-17,,34,34-17,Elk Grove Unified School District,02  122856,$0.00,0,0,"payment of $12,450.00 received 9/11/2024 MC",02,Maeola Beitzel Elementary School (elk Grove Unified School District),67314-377,0,8140 Caymus Dr.,Maeola Beitzel Elementary School (elk Grove Unified School District),Alterations to 1-Parking Lot,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=122856
2,8551 Poppy Ridge Road,,,,,118612,,1/21/2021,,Elk Grove,"Invoice pmnt of $67,277.51 rcvd 3/6/2023 DT. 
L02-502217(cs); Pmnt of $322,250. rcvd 10/9/2020 DT. 
Updated Project Name to reflect new confirmed Site name, uploaded email noting request for update to Navigator 11/16/2021 (KW)",0,3/10/2023 10:58:46 AM,,$0.00,"$49,216,097.00",,,,"$40,000,000.00",34-17,,,,,,02,67314-299,Class 2,"Miwok Village Elem. School, Formerly Laguna Ridge East (elk Grove Unified Sd)","Construction of 1-Dining Canopy, 1-Administration Building, 1-Site Improvement, 3-Classroom Buildings, 1-Kindergarten Building, 1-Library / Media Building, 1-Multi-Use Building",School (K-12),,10/26/2020,,,,NA,,,95757,$0.00,$0.00,,,118612,,34-17,,34,34-17,Elk Grove Unified School District,02  118612,"$49,216,097.00",0,0,"Invoice pmnt of $67,277.51 rcvd 3/6/2023 DT. 
L02-502217(cs); Pmnt of $322,250. rcvd 10/9/2020 DT. 
Updated Project Name to reflect new confirmed Site name, uploaded email noting request for update to Navigator 11/16/2021 (KW)",02,"Miwok Village Elem. School, Formerly Laguna Ridge East (elk Grove Unified Sd)",67314-299,0,8551 Poppy Ridge Road,"Miwok Village Elem. School, Formerly Laguna Ridge East (elk Grove Unified Sd)","Construction of 1-Dining Canopy, 1-Administration Building, 1-Site Improvement, 3-Classroom Buildings, 1-Kindergarten Building, 1-Library / Media Building, 1-Multi-Use Building",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=118612
0,10070 Lousada Drive,,,,,123123,,5/22/2025,,Elk Grove,"payment of $16,200.00 received 3/3/2025 MC
payment of $8,100.00 received 3/3/2025 MC",0,,,$0.00,"$1,375,000.00",,,,"$1,000,000.00",34-17,,,,,,02,67314-400,Class 3,Miwok Village Elementary School( Elk Grove Unified School District),Alterations to 1-Administration Building A; Relocation of 2-Classroom Building  (Relocatable) H1 and H2,School (K-12),,3/7/2025,,,,NA,,,95757,"$2,000,000.00",$0.00,2/26/2025,,123123,,34-17,,34,34-17,Elk Grove Unified School District,02  123123,$0.00,0,0,"payment of $16,200.00 received 3/3/2025 MC
payment of $8,100.00 received 3/3/2025 MC",02,Miwok Village Elementary School( Elk Grove Unified School District),67314-400,0,10070 Lousada Drive,Miwok Village Elementary School( Elk Grove Unified School District),Alterations to 1-Administration Building A; Relocation of 2-Classroom Building  (Relocatable) H1 and H2,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=123123
