# Of Incr,Address,Adj Est.Amt#1,Adj Est.Amt#2,Adj Est.Date#1,Adj Est.Date#2,Application #,Approval Ext. Date,Approved Date,Auto Fire Detection,City,Client's Notes,Climate Zone,Closed Date,Complete Submittal Received Date,Construction Change Document Amt,Contracted Amt,EPR Approved Date,Energy Efficiency,Energy Notes,Estimated Amt,File #,HPI,HPI Hours,HPI Points,Included In Plan,OPSC #,Office ID,PTN #,Project Class,Project Name,Project Scope,Project Type,Project's Sq.footage,Received Date,Required,Required review services,SB 575,Special Type,Special review type,Sprinkler System,Zip,adjamt1,adjamt2,adjdate1,adjdate2,app,app_id,appextdate,client_id,comprecvdate,county_id,district_code,district_name,dsa_app_id,enotes,finalprojectcost,mode,new,notes,origin_id,project_name,ptn,sq,table_0_address,table_0_project_name,table_0_project_scope,url
0,11755 Ivie Rd.,,,,,117288,,12/10/2018,,Herald,** Form DSA-168 for Final Construction Cost has been submitted.  The project will be closed after receiving the payment of required further fee for the amount of       $645.04 12/16/19 (DD) **,0,,,"$6,672.27","$330,336.00",,,,"$208,000.00",34-4,,,,,,02,67280-5,N/A,Arcohe Middle School (arcohe Unified School District),Alterations to 1-Site Improvement - Running Track,School (K-12),,12/10/2018,,,,NA,,,95638,$0.00,$0.00,,,,117288,,34-4,,34,34-4,Arcohe Union Elementary School District,02  117288,,"$337,008.27",0,0,** Form DSA-168 for Final Construction Cost has been submitted.  The project will be closed after receiving the payment of required further fee for the amount of       $645.04 12/16/19 (DD) **,02,Arcohe Middle School (arcohe Unified School District),67280-5,0,11755 Ivie Rd.,Arcohe Middle School (arcohe Unified School District),Alterations to 1-Site Improvement - Running Track,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=117288
0,11755 Ivie Road,,,,,118452,,9/16/2020,,Herald,"Pmnt of $172.50 rcvd 3/15/2021 DT. 
Pmnt of $549.92 Paid 6/23/2020 DT. 
7/14/2020 Verify that Plan Review Fees have been paid prior to back-check IA/EE.",0,4/5/2021 2:06:21 PM,,"$28,046.54","$194,844.00",,,,"$183,308.85",34-4,,,,,,02,6728-0007,Class 3,Arcohe Union Elementary School (arcohe Union Elementary School District),Alterations to 16-Fire Alarm upgrade,School (K-12),,7/10/2020,,,,NA,,,95638,$0.00,$0.00,,,,118452,,34-4,,34,34-4,Arcohe Union Elementary School District,02  118452,,"$222,890.54",0,0,"Pmnt of $172.50 rcvd 3/15/2021 DT. 
Pmnt of $549.92 Paid 6/23/2020 DT. 
7/14/2020 Verify that Plan Review Fees have been paid prior to back-check IA/EE.",02,Arcohe Union Elementary School (arcohe Union Elementary School District),6728-0007,0,11755 Ivie Road,Arcohe Union Elementary School (arcohe Union Elementary School District),Alterations to 16-Fire Alarm upgrade,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=118452
3,3111 Center Court Lane,,,,,109941,,10/1/2008,,Antelope,"Invoice #4598 for $7,986.36 paid 4/21/10 (KU); Re-exam requested, no fee due per policy 09-04 on 10/5/10 (KU)",0,10/7/2010,,"($221,944.00)","$11,587,896.00",,,,"$9,800,000.00",34-H9,,,,,,02,73973-19,Class 2 & RBIP,Center H.s. (center U.s.d.),"Alterations to 1-Storage Building; Construction of 1-Concession Building / Toilet Building, 1-Storage Building, 1-Toilet Building (Relocatable), 2-Grandstands, 1-Modular Elevator/ Elevator Equipment Room",School (K-12),,5/21/2008,,,,NA,,,95843,,,,,,109941,,34-H9,,34,34-H9,Center Joint Unified School District,02  109941,,"$11,365,952.00",0,0,"Invoice #4598 for $7,986.36 paid 4/21/10 (KU); Re-exam requested, no fee due per policy 09-04 on 10/5/10 (KU)",02,Center H.s. (center U.s.d.),73973-19,0,3111 Center Court Lane,Center H.s. (center U.s.d.),"Alterations to 1-Storage Building; Construction of 1-Concession Building / Toilet Building, 1-Storage Building, 1-Toilet Building (Relocatable), 2-Grandstands, 1-Modular Elevator/ Elevator Equipment Room",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=109941
0,3111 Center Court Ln,,,,,107249,,11/21/2005,,Antelope,Final recommendation and entire scope constructed GF 6/1/2006,,10/30/2006,,$0.00,"$90,000.00",,,,"$62,500.00",34-H9,,,,,,02,73973-3-1,Class 3,Center High (center Unified Sd),Construction of retaining wall Alteration to Monopole,School (K-12),,5/23/2005,,,,NA,,,95843,,,,,,107249,,34-H9,,34,34-H9,Center Joint Unified School District,02  107249,,"$90,000.00",,,Final recommendation and entire scope constructed GF 6/1/2006,02,Center High (center Unified Sd),73973-3-1,,3111 Center Court Ln,Center High (center Unified Sd),Construction of retaining wall Alteration to Monopole,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=107249
0,3111 Center Court Ln,,,,,105617,,10/2/2012,,Antelope,"**Invoice #5628 for $415.01 paid on 10/25/12 (ch) **

*Re-exam Fee of 500.00 paid 9-13-12
received submittal on 7/2/03 without PTN. Received PTN on 8/7/03. DB",0,10/26/2012 9:30:07 AM,,$0.00,"$95,000.00",,,,"$35,000.00",34-H9,,,,,,02,73973-2-2,Class 3,Center High (center Usd),Relocation of wireless antenna on existing pole,School (K-12),,8/4/2003,,,,NA,,,95843,$0.00,$0.00,,,,105617,,34-H9,,34,34-H9,Center Joint Unified School District,02  105617,,"$95,000.00",0,0,"**Invoice #5628 for $415.01 paid on 10/25/12 (ch) **

*Re-exam Fee of 500.00 paid 9-13-12
received submittal on 7/2/03 without PTN. Received PTN on 8/7/03. DB",02,Center High (center Usd),73973-2-2,0,3111 Center Court Ln,Center High (center Usd),Relocation of wireless antenna on existing pole,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=105617
2,3111 Center Court Ln,,,,,104346,,3/24/2003,,Antelope,"**Invoice #5018 for $76.50 paid on 05/23/2011 (aom)**
**Reopen fee for $500.00 paid on 05/12/2011 (aom)**",0,5/26/2011 11:29:26 AM,,$0.00,"$354,000.00",,,,"$345,500.00",34-H9,,,,,,02,73973-1,Class 4,Center High (center Usd),"Construction of sitework, (1)32x30 relo. bldg. & (1)32x60 relo. bldg.",School (K-12),,5/9/2002,,,,NA,,,95843,$0.00,$0.00,,,,104346,,34-H9,,34,34-H9,Center Joint Unified School District,02  104346,,"$354,000.00",0,0,"**Invoice #5018 for $76.50 paid on 05/23/2011 (aom)**
**Reopen fee for $500.00 paid on 05/12/2011 (aom)**",02,Center High (center Usd),73973-1,0,3111 Center Court Ln,Center High (center Usd),"Construction of sitework, (1)32x30 relo. bldg. & (1)32x60 relo. bldg.",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=104346
0,3111 Center Court Ln,,,,,104348,,10/7/2002,,Antelope,"**Invoice #5663 for $82.51 paid 10/25/12 (ch)**

*Re-exam Fee of 500.00 paid on 9-13-12 (scd)    
Project received on 5/1/02 incomplete due to PTN. Reveived PTN on 5/9/2002. DB
final recommendation and entire scope built  GF  12/30/2002",0,10/26/2012 10:42:51 AM,,$0.00,"$76,786.00",,,,"$65,000.00",34-H9,,,,,,02,73973-2-1,Class 3,Center High (center Usd),Additions to 1-Antenna Pole,School (K-12),,5/9/2002,,,,NA,,,95843,$0.00,$0.00,,,,104348,,34-H9,,34,34-H9,Center Joint Unified School District,02  104348,,"$76,786.00",0,0,"**Invoice #5663 for $82.51 paid 10/25/12 (ch)**

*Re-exam Fee of 500.00 paid on 9-13-12 (scd)    
Project received on 5/1/02 incomplete due to PTN. Reveived PTN on 5/9/2002. DB
final recommendation and entire scope built  GF  12/30/2002",02,Center High (center Usd),73973-2-1,0,3111 Center Court Ln,Center High (center Usd),Additions to 1-Antenna Pole,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=104348
0,3111 Center Court Ln,,,,,104766,,,,Antelope,"Received submittal on 10/1/02 with out PTN, received PTN on 10/9/02. DB",,,,$0.00,$0.00,,,,"$167,204.00",34-H9,,,,,,02,73973-3,Class 3,Center High (centerusd),Alteration to: Monopole,School (K-12),,10/9/2002,,,,NA,,,95843,,,,,,104766,,34-H9,,34,34-H9,Center Joint Unified School District,02  104766,,$0.00,,,"Received submittal on 10/1/02 with out PTN, received PTN on 10/9/02. DB",02,Center High (centerusd),73973-3,,3111 Center Court Ln,Center High (centerusd),Alteration to: Monopole,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=104766
0,3111 Center Court Lane,,,,,100481,,10/21/1998,,Antelope,Void 4 yr rule,,7/28/2003,,$0.00,$0.00,,,,"$20,000.00",34-H9,,,,,,02,,Class 1,Center High School,CONST. OF LIGHT POLE AND EQUIPMENT/STORAGE BLDG.,School (K-12),,6/8/1998,,,,NA,,,95843,,,,,,100481,,34-H9,,34,34-H9,Center Joint Unified School District,02  100481,,$0.00,,,Void 4 yr rule,02,Center High School,,,3111 Center Court Lane,Center High School,CONST. OF LIGHT POLE AND EQUIPMENT/STORAGE BLDG.,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=100481
0,3111 Center Court Lane,,,,,100598,,7/17/1998,,Antelope,"**Re-exam Fee paid at HQ 9/9/15(ch)**
Entire scope constructed   GF 12/28/2000
No further fee required   GF  12/28/2000",0,6/9/2016 2:18:38 PM,,$0.00,"$98,027.00",,,,"$160,000.00",34-H9,,,,,,02,N/A,Class 1,Center High School,ALTS. TO FIVE CLSRM. BLDGS. (RELOCATION),School (K-12),,7/13/1998,,,,NA,,,95843,$0.00,$0.00,,,,100598,,34-H9,,34,34-H9,Center Joint Unified School District,02  100598,,"$98,027.00",0,0,"**Re-exam Fee paid at HQ 9/9/15(ch)**
Entire scope constructed   GF 12/28/2000
No further fee required   GF  12/28/2000",02,Center High School,N/A,0,3111 Center Court Lane,Center High School,ALTS. TO FIVE CLSRM. BLDGS. (RELOCATION),https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=100598
0,3111 Center Court Lane,,,,,116076,,2/14/2018,,Antelope,"7/31/2017 Issue Incomplete Notice IA/EE.
8/9/2017 Issue 2nd Incomplete Notice IA/EE.
8/15/2017 Submittal is Complete for Intake Review.",0,,,$0.00,$0.00,,,,"$8,000.00",34-H9,,,,,,02,73973-30,Class 3,Center High School  (center Joint Unified School District),Additions to 1-Cellular Pole/Tower,School (K-12),,7/28/2017,,,,NA,,,95843,$0.00,$0.00,,,,116076,,34-H9,8/15/2017,34,34-H9,Center Joint Unified School District,02  116076,,$0.00,0,0,"7/31/2017 Issue Incomplete Notice IA/EE.
8/9/2017 Issue 2nd Incomplete Notice IA/EE.
8/15/2017 Submittal is Complete for Intake Review.",02,Center High School  (center Joint Unified School District),73973-30,0,3111 Center Court Lane,Center High School  (center Joint Unified School District),Additions to 1-Cellular Pole/Tower,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=116076
0,3111 Center Court Lane,,,,,116283,,12/21/2017,,Antelope,"**1yr extension granted by Dan Levernier on 2/20/20, to expire on 12/21/20 KW**",0,8/6/2020 3:36:31 PM,,$0.00,"$142,395.00",,,,"$150,000.00",34-H9,,,,,,02,73973-31,Class 3,Center High School (center Joint Unified School District),Alterations to 1-Cellular Pole/Tower; Rehabilitation of 1-Cellular Pole/Tower,School (K-12),,9/21/2017,,,,NA,,,95843,$0.00,$0.00,,,,116283,12/21/2020,34-H9,,34,34-H9,Center Joint Unified School District,02  116283,,"$142,395.00",0,0,"**1yr extension granted by Dan Levernier on 2/20/20, to expire on 12/21/20 KW**",02,Center High School (center Joint Unified School District),73973-31,0,3111 Center Court Lane,Center High School (center Joint Unified School District),Alterations to 1-Cellular Pole/Tower; Rehabilitation of 1-Cellular Pole/Tower,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=116283
0,8408 Watt Ave.,,,,,116367,,4/26/2018,,Antelope,"**1yr extension granted by Dan Levernier on 5/24/19, to expire on 4/26/2020 (kw)**",0,10/9/2019 11:52:14 AM,,$0.00,"$35,000.00",,,,"$30,000.00",34-H9,,,,,,02,73973-32,Class 3,Center High School (center Joint Unified School District),Additions to 1-Stadium Light/Cellular Pole,School (K-12),,12/7/2017,,,,NA,,,95843,$0.00,$0.00,,,,116367,4/26/2020,34-H9,,34,34-H9,Center Joint Unified School District,02  116367,,"$35,000.00",0,0,"**1yr extension granted by Dan Levernier on 5/24/19, to expire on 4/26/2020 (kw)**",02,Center High School (center Joint Unified School District),73973-32,0,8408 Watt Ave.,Center High School (center Joint Unified School District),Additions to 1-Stadium Light/Cellular Pole,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=116367
0,3111 Center Court Lane,,,,,116405,,3/13/2018,,Antelope,"4/25/19 Invoice 02-8415 for $2,931.69 paid; check received and deposited by DGS/Fiscal services (AR)
**Landscape Fee Received 12/13/17; L02-500180 (AR)**",0,4/26/2019 9:11:31 AM,,"$101,481.83","$641,390.00",,,,"$580,000.00",34-H9,,,,,,02,37973-33,Class 3,Center High School (center Joint Unified School District),Alterations to 1-Gymnasium Building; Construction of 1-Site Improvement,School (K-12),,12/13/2017,,,,NA,,,95843,$0.00,$0.00,,,,116405,,34-H9,,34,34-H9,Center Joint Unified School District,02  116405,,"$742,871.83",0,0,"4/25/19 Invoice 02-8415 for $2,931.69 paid; check received and deposited by DGS/Fiscal services (AR)
**Landscape Fee Received 12/13/17; L02-500180 (AR)**",02,Center High School (center Joint Unified School District),37973-33,0,3111 Center Court Lane,Center High School (center Joint Unified School District),Alterations to 1-Gymnasium Building; Construction of 1-Site Improvement,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=116405
0,3111 Center Court Ln.,,,,,117392,,4/10/2019,,Antelope,"Form DSA-168 for Final Construction Cost has been submitted. All fees have been reconciled. The project is closed and no more documents are required. 11/7/19  (DD)Filing fee received 2/22/19 (AR)
Project is ready for intake 2/22 (ED)",0,,,$0.00,"$698,467.00",,,,"$696,400.00",34-H9,,,,,,02,73973-37,N/A,Center High School (center Joint Unified School District),Alterations to 1-Toilet Building; Construction of 1-Sport Field,School (K-12),,2/22/2019,,,,NA,,,95843,$0.00,$0.00,,,,117392,,34-H9,,34,34-H9,Center Joint Unified School District,02  117392,,"$698,467.00",0,0,"Form DSA-168 for Final Construction Cost has been submitted. All fees have been reconciled. The project is closed and no more documents are required. 11/7/19  (DD)Filing fee received 2/22/19 (AR)
Project is ready for intake 2/22 (ED)",02,Center High School (center Joint Unified School District),73973-37,0,3111 Center Court Ln.,Center High School (center Joint Unified School District),Alterations to 1-Toilet Building; Construction of 1-Sport Field,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=117392
0,3111 Center Court Lane,,,,,117487,,11/8/2019,,Antelope,"07/25/2023 check#81-201065 for $27793.06 paid for Inv#12897.(IA)
4/11/19 Landscape fee received; L02-501919 (AR)
3/29/19 Filing fee received (AR)",0,,,$0.00,"$47,550.00",,,,"$7,525,867.00",34-H9,,,,,,02,73973-36,Class 3,Center High School (center Joint Unified School District),"Alterations to 1-Weight Room (Relocatable), 1-Science Building, 3-Storage Building, 1-Multi-purpose Building, 1-Administration Building, 2-Toilet Building, 1-Concession Building, 1-Press Box, 1-Gymnasium Building, 11-Classroom Buildings, 1-Shop Building, 1-Performing Arts Building, 1-Library Building, 1-Music Building, 5-Classroom Buildings (Relocatable)",School (K-12),,3/29/2019,,,,NA,,,95843,"$11,000,000.00",$0.00,7/5/2023,,,117487,,34-H9,,34,34-H9,Center Joint Unified School District,02  117487,,$0.00,0,0,"07/25/2023 check#81-201065 for $27793.06 paid for Inv#12897.(IA)
4/11/19 Landscape fee received; L02-501919 (AR)
3/29/19 Filing fee received (AR)",02,Center High School (center Joint Unified School District),73973-36,0,3111 Center Court Lane,Center High School (center Joint Unified School District),"Alterations to 1-Weight Room (Relocatable), 1-Science Building, 3-Storage Building, 1-Multi-purpose Building, 1-Administration Building, 2-Toilet Building, 1-Concession Building, 1-Press Box, 1-Gymnasium Building, 11-Classroom Buildings, 1-Shop Building, 1-Performing Arts Building, 1-Library Building, 1-Music Building, 5-Classroom Buildings (Relocatable)",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=117487
0,3111 Center Court Lane,,,,,118000,,10/30/2019,,Antelope,,0,,,$0.00,$0.00,,,,"$90,000.00",34-H9,,,,,,02,37973-41,N/A,Center High School (center Joint Unified School District),Construction of 1-Site Improvement - Security Fencing,School (K-12),,10/30/2019,,,,NA,,,95843,$0.00,$0.00,,,,118000,,34-H9,,34,34-H9,Center Joint Unified School District,02  118000,,$0.00,0,0,,02,Center High School (center Joint Unified School District),37973-41,0,3111 Center Court Lane,Center High School (center Joint Unified School District),Construction of 1-Site Improvement - Security Fencing,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=118000
0,3111 Center Court Lane,,,,,119101,,11/17/2021,,Antelope,"6/24/2021 Plan Review Fee received
6/14/2021 Plan Review Fee has not been received, it Electronic Payment was attempted on 5/26/2021 but Not Successful. Verify payment has been received prior to the back-check appointment IA/EE.
Fee payment is pending(cs);6/9/2021 Issue Project Not Received Notice IA/EE.",0,11/1/2023 11:41:27 AM,,$0.00,"$60,504.76",,,,"$35,000.00",34-H9,,,,,,02,73973-47,Class 3,Center High School (center Joint Unified School District),Additions to 1-Cellular Pole/Tower,School (K-12),,5/26/2021,,,,NA,,,95843,$0.00,$0.00,,,,119101,,34-H9,6/14/2021,34,34-H9,Center Joint Unified School District,02  119101,,"$60,504.76",0,0,"6/24/2021 Plan Review Fee received
6/14/2021 Plan Review Fee has not been received, it Electronic Payment was attempted on 5/26/2021 but Not Successful. Verify payment has been received prior to the back-check appointment IA/EE.
Fee payment is pending(cs);6/9/2021 Issue Project Not Received Notice IA/EE.",02,Center High School (center Joint Unified School District),73973-47,0,3111 Center Court Lane,Center High School (center Joint Unified School District),Additions to 1-Cellular Pole/Tower,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=119101
